gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.004,17,2,4,10,3975937.0,0.0,5988325,1795541,0
0.004,17,3,4,10,3989453.0,0.0,6364327,2145955,0
0.004,17,4,4,10,0.0,0.0,6134081,5887144,0
0.004,17,5,4,10,42021.0,0.0,5906178,5617103,0
0.004,17,6,4,10,3978026.0,0.0,5948677,1723690,0
0.004,17,7,4,10,3940899.0,2013.3333333333335,6019827,1855849,0.0005108817387437063
0.004,17,8,4,10,0.0,0.0,6118517,5877320,0
0.004,17,9,4,10,3989247.0,0.0,5979012,1760296,0
0.004,18,0,4,10,1971040.0,3990.6666666666665,6225720,4007443,0.00202465026923181
0.004,18,1,4,10,3977283.0,0.0,5936418,1711930,0
0.004,18,2,4,10,3988356.0,0.0,5820545,1585393,0
0.004,18,3,4,10,2007566.0,0.0,5895029,3646148,0
0.004,18,4,4,10,5996.0,5996.0,6323179,6070185,1.0
0.004,18,5,4,10,3982969.0,0.0,5935875,1711774,0
0.004,18,6,4,10,3978246.0,0.0,6081414,1868217,0
0.004,18,7,4,10,0.0,0.0,6236810,5989646,0
0.004,18,8,4,10,12059.0,1517.5,5804171,5550862,0.1258396218591923
0.004,18,9,4,10,3983888.0,0.0,5997581,1772644,0
0.004,19,0,4,10,18073.0,6014.000000000001,6002196,5737315,0.33276157804459694
0.004,19,1,4,10,3984067.0,0.0,5960131,1734903,0
0.004,19,2,4,10,3976494.0,0.0,6164435,1946528,0
0.004,19,3,4,10,3989709.0,0.0,5972747,1759774,0
0.004,19,4,4,10,12054.0,6041.0,5918417,5659331,0.5011614401858304
0.004,19,5,4,10,0.0,0.0,5742923,5496179,0
0.004,19,6,4,10,3983206.0,0.0,6031719,1807628,0
0.004,19,7,4,10,3977751.0,0.0,5959911,1741411,0
0.004,19,8,4,10,6021.0,1505.25,6062375,5808893,0.25
0.004,19,9,4,10,3979170.0,0.0,6131550,1911173,0
0.005,0,0,5,10,4062257.0,4012.0,5974171,1670359,0.0009876283061362194
0.005,0,1,5,10,4966373.0,0.0,5894344,687062,0
0.005,0,2,5,10,4976968.0,0.0,5706296,506559,0
0.005,0,3,5,10,903323.0,0.0,6092095,4947577,0
0.005,0,4,5,10,24057.0,9012.0,6007060,5742028,0.37461030053622646
0.005,0,5,5,10,4948458.0,0.0,6075473,904156,0
0.005,0,6,5,10,4990248.0,0.0,6177562,982335,0
0.005,0,7,5,10,48202.0,0.0,5803558,5508298,0
0.005,0,8,5,10,0.0,0.0,6154111,5907318,0
0.005,0,9,5,10,4967071.0,0.0,5750488,554550,0
0.005,1,0,5,10,2597423.0,2008.3333333333335,5750444,2911541,0.0007732022598295824
0.005,1,1,5,10,4972542.0,0.0,5719888,518247,0
0.005,1,2,5,10,4984141.0,0.0,6291830,1078806,0
