gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.025,1,1,12,10,2838657.0,864814.5,2844632,0,0.30465621595000736
0.025,1,2,12,10,2983767.0,870324.5,2983767,0,0.29168648222196975
0.025,1,3,12,10,2977124.0,850112.6666666666,2977124,0,0.28554828978123403
0.025,1,4,12,10,2898431.0,1828842.5,2904463,0,0.6309767249936259
0.025,1,5,12,10,3114835.0,869608.3333333334,3114835,0,0.27918279245396094
0.025,1,6,12,10,2760671.0,385601.99999999994,2760671,0,0.13967691188120568
0.025,1,7,12,10,3102180.0,1461797.6666666665,3102180,0,0.4712162629720605
0.025,1,8,12,10,3018919.0,1961526.25,3018919,0,0.6497445774464303
0.025,1,9,12,10,2916817.0,313666.0,2916817,0,0.10753708580277747
0.028,0,0,14,10,3013803.0,1607464.6666666667,3013803,0,0.5333675315429266
0.028,0,1,14,10,2928807.0,972745.5,2928807,0,0.33213028376400355
0.028,0,2,14,10,3248128.0,1163514.5,3248128,0,0.35821079095405106
0.028,0,3,14,10,3018490.0,1163259.6666666667,3018490,0,0.38537800909284664
0.028,0,4,14,10,3085447.0,2154070.0,3085447,0,0.6981387137746978
0.028,0,5,14,10,3259933.0,1070820.0,3259933,0,0.3284791435897609
0.028,0,6,14,10,2953655.0,566633.0,2953655,0,0.1918412949379667
0.028,0,7,14,10,3024401.0,1630894.6666666665,3024401,0,0.5392455123069548
0.028,0,8,14,10,2819892.0,1952296.0,2819892,0,0.6923300608675793
0.028,0,9,14,10,2873944.0,404065.99999999994,2873944,0,0.14059633729815194
0.028,1,0,14,10,2982506.0,1556425.3333333335,2982506,0,0.5218515346937553
0.028,1,1,14,10,2970602.0,1084593.0,2970602,0,0.365108823060107
0.028,1,2,14,10,3068169.0,1091162.5,3068169,0,0.35563963393150766
0.028,1,3,14,10,2887107.0,1062333.0,2893147,0,0.36795761293225365
0.028,1,4,14,10,3025489.0,2143906.0,3025489,0,0.7086147065813163
0.028,1,5,14,10,3079645.0,1056518.0,3079645,0,0.34306486624270005
0.028,1,6,14,10,2977603.0,572500.0,2977603,0,0.19226874771418487
0.028,1,7,14,10,2934817.0,1598572.0000000002,2940846,0,0.5446922244214887
0.028,1,8,14,10,3086116.0,2168491.25,3086116,0,0.702660318017858
0.028,1,9,14,10,2952375.0,488091.0,2952375,0,0.16532147847072273
0.03,0,0,15,10,3001431.0,1729632.0,3001431,0,0.5762691196299365
0.03,0,1,15,10,2820612.0,1178212.0,2826637,0,0.41771502071181715
0.03,0,2,15,10,2814651.0,1144310.0,2814651,0,0.4065548446326028
0.03,0,3,15,10,2820606.0,1091163.6666666667,2820606,0,0.3868543379212363
0.03,0,4,15,10,3290649.0,2510117.0,3290649,0,0.7628030215316188
0.03,0,5,15,10,2891379.0,1114642.0,2891379,0,0.38550532462191917
0.03,0,6,15,10,3255243.0,705640.0,3267268,0,0.21677029948301862
0.03,0,7,15,10,2849647.0,1606735.3333333333,2849647,0,0.5638366202316755
0.03,0,8,15,10,3049546.0,2288711.25,3049546,0,0.7505088462348166
0.03,0,9,15,10,2872946.0,782591.9999999999,2872946,0,0.2724005254536632
